number	OTUID	sum	samples	av	pcntSamples	domain	phylum	class	order	family	genus	species	label	taxonomy	taxon_metblm
199	FJ612270.1.1394	160	47	3	20	B	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis	Microcystis	Microcystis_3	0	0
228	GQ130152.1.1440	2407	135	18	58	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_1	0	0
122	FR667282.1.1373	1008	118	9	51	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_2	0	0
206	GU305749.1.1449	1190	129	9	56	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_3	0	0
102	FJ381976.1.1345	504	97	5	42	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_4	0	0
131	GU305739.1.1450	273	66	4	28	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_5	0	0
172	GQ130142.1.1451	370	87	4	38	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_6	0	0
34	FJ960103.1.1365	214	71	3	31	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_7	0	0
190	JN869141.1.1478	158	58	3	25	B	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus	Synechococcus_8	0	0
92	GU936888.1.1457	216	58	4	25	B	Cyanobacteria-chloroplast	Chloroplast	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-b"
98	GU940745.1.1323	1975	178	11	77	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_1	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
222	FJ612352.1.1449	1706	190	9	82	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_2	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
96	JQ195581.1.1311	946	170	6	73	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_3	0	"macro-algal eukaryote, C fixing phytoplankton, contain starch, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
192	FJ612150.1.1429	1013	161	6	69	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_4	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
155	JQ198412.1.1324	716	153	5	66	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_5	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
224	FJ745191.1.1322	413	138	3	59	B	Cyanobacteria-chloroplast	Chloroplast	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta	Cryptophyta_6	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c2, rhodhopsins, can harvest both blue and green light, continue relication under ice despite low light an dcold, non-toxic food source for grazers compared to cyanobacteria"
173	JX015603.1.1441	196	84	2	36	B	Cyanobacteria-chloroplast	Chloroplast	Haptophyceae	Haptophyceae	Haptophyceae	Haptophyceae	Haptophyceae	0	"macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c, contain cellulose"
24	AB661539.1.1411	30312	180	168	78	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_1	0	"macro-algal eukaryote, phytoplankton, chl-c"
66	KF799414.1.1435	324	71	5	31	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_10	0	"macro-algal eukaryote, phytoplankton, chl-c"
25	GU305847.1.1458	234	59	4	25	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_11	0	"macro-algal eukaryote, phytoplankton, chl-c"
18	FM242285.1.1451	273	82	3	35	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_12	0	"macro-algal eukaryote, phytoplankton, chl-c"
72	GU941014.1.1261	164	58	3	25	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_13	0	"macro-algal eukaryote, phytoplankton, chl-c"
219	HQ230142.1.1396	862	32	27	14	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_2	0	"macro-algal eukaryote, phytoplankton, chl-c"
26	GU119717.1.1408	2323	94	25	41	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_3	0	"macro-algal eukaryote, phytoplankton, chl-c"
69	JQ088178.63413.64880	1411	70	20	30	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_4	0	"macro-algal eukaryote, phytoplankton, chl-c"
67	GQ441215.1.1445	599	59	10	25	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_5	0	"macro-algal eukaryote, phytoplankton, chl-c"
14	GU305781.1.1459	953	119	8	51	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_6	0	"macro-algal eukaryote, phytoplankton, chl-c"
82	GU305848.1.1448	790	103	8	44	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_7	0	"macro-algal eukaryote, phytoplankton, chl-c"
111	JN207233.1.1300	325	63	5	27	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_8	0	"macro-algal eukaryote, phytoplankton, chl-c"
152	GQ302541.1.1484	276	51	5	22	B	Cyanobacteria-chloroplast	Chloroplast	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles	Stramenopiles_9	0	"macro-algal eukaryote, phytoplankton, chl-c"
88	FQ658568.1.1343	907	180	5	78	B	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas	Gemmatimonas	0	0
128	AB698042.1.1542	1525	158	10	68	B	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales_1	0	0
125	AF418943.1.1444	1024	124	8	53	B	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales_2	0	0
11	HM446087.1.1415	259	55	5	24	B	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales_3	0	0
135	AF316766.1.1445	278	77	4	33	B	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales	Phycisphaerales_4	0	0
218	EU234279.1.1497	1708	189	9	81	B	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmataceae	Gemmataceae	Gemmataceae_1	0	0
97	JN869018.1.1519	162	90	2	39	B	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmataceae	Gemmataceae	Gemmataceae_2	0	0
99	JN391563.1.1481	245	100	2	43	B	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Planctomyces	Planctomyces	0	0
127	GQ500814.1.1436	212	115	2	50	B	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales	Rhizobiales	Rhizobiales	Rhizobiales	0	0
116	JQ905994.1.1345	1181	205	6	88	B	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystaceae	Methylocystaceae	Methylocystaceae	0	0
90	AB900796.1.1389	245	60	4	26	B	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonadaceae	Hyphomonadaceae	Hyphomonadaceae	0	0
48	HM126765.1.1391	251	82	3	35	B	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter	Rhodobacter_!	0	0
200	FN668055.1.1412	542	171	3	74	B	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter	Rhodobacter_2	0	0
130	AY509418.1.1326	1168	132	9	57	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae_1	0	0
146	FQ659590.1.1312	275	101	3	44	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae_2	0	0
94	JN869032.1.1484	181	89	2	38	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae	Acetobacteraceae_3	0	0
52	EU800891.1.1461	174	77	2	33	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae	Rhodospirillaceae	Rhodospirillaceae_1	0	0
217	KU713226.1.1348	157	81	2	35	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae	Rhodospirillaceae	Rhodospirillaceae_2	0	0
77	KU713293.1.1344	162	40	4	17	B	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum	Azospirillum	0	0
36	HM129400.1.1417	179	73	2	31	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales	Rickettsiales	Rickettsiales	Rickettsiales	0	0
197	GU305784.1.1481	3466	59	59	25	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	basal CaFonsibacter	basal CaFonsibacter	basal_CaFonsi_1	basal IIIb-LD12 unknown (LD12_8)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
207	EU803732.1.1421	603	144	4	62	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_10	IIIb-LD12-A (LD12_9)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
106	JQ941843.1.1364	194	102	2	44	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_11	IIIb-LD12-A (LD12_3)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
212	EU803786.1.1256	526	148	4	64	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_3	IIIb-LD12 unknown (LD12_10)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
189	GU305856.1.1443	2803	177	16	76	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_4	IIIb-LD12-A (LD12_7)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
121	EU803460.1.1447	2145	171	13	74	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_5	IIIb-LD12-A (LD12_5)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
113	EU800360.1.1446	1328	184	7	79	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_6	IIIb-LD12-A (LD12_4)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
171	EU803376.1.1258	818	146	6	63	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_7	IIIb-LD12-A (LD12_6)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
23	EU800571.1.1447	247	112	2	48	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_8	IIIb-LD12-A (LD12_2)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
9	JX448570.1.1261	464	135	3	58	B	Proteobacteria	Alphaproteobacteria	Rickettsiales	Pelagibacteraceae	CaFonsibacter	CaFonsibacter	CaFonsi_9	IIIb-LD12-A (LD12_1)	"freshwater, photoheterotroph, fastidious, green light rhodopsins"
65	AM086129.1.1462	584	77	8	33	B	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria_1	0	0
151	FJ230908.1.1504	169	37	5	16	B	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria_2	0	0
41	JQ684283.1.1500	264	101	3	44	B	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria_3	0	0
134	AB179533.1.1497	164	76	2	33	B	Proteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria	Betaproteobacteria_4	0	0
132	KP687114.1.1453	333	121	3	52	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales	Burkholderiales	Burkholderiales	Burkholderiales	0	0
160	FJ612147.1.1493	482	130	4	56	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae_1	0	"gram neg, rods to coccobacilli, mesophilic 10C to 40C, mostly aerobic, heterotrophic, some fix N "
209	GU305795.1.1496	817	191	4	82	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae_2	0	"gram neg, rods to coccobacilli, mesophilic 10C to 40C, mostly aerobic, heterotrophic, some fix N "
211	AJ575701.1.1473	325	104	3	45	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae	Alcaligenaceae_3	0	"gram neg, rods to coccobacilli, mesophilic 10C to 40C, mostly aerobic, heterotrophic, some fix N "
59	JN656846.1.1491	592	124	5	53	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter	Polynucleobacter_1	0	0
139	AY792238.1.1529	608	159	4	69	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter	Polynucleobacter_2	0	0
133	HM126781.1.1455	186	96	2	41	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter	Polynucleobacter_3	0	0
180	AB753922.1.1459	5033	198	25	85	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_1	0	0
163	FJ382059.1.1209	260	41	6	18	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_10	0	0
225	FJ936865.1.1487	173	29	6	13	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_11	prob acidovorax genus	"slightly curved rods, motile, Aerobic chemoorganotrophic (some strains fac. hydrogen oxidizers; some strains capable of nitrate respiration), mesophilic"
49	JQ723680.1.1499	1051	165	6	71	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_12	0	0
87	FN668020.1.1490	384	74	5	32	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_13	prob rhodoferax genus	"curved rods, motile, phototrophic, mesotrophic some psycrotolerant, facultative anaerobic photoheterotrophs and aerobic heterotrophs in the dark, some also fermentative, have bact-chl-a ubut unclear photosynth path,N fixation and can use NH4 and glutamate as sole nitrogen sources, thiamine and biotin auxotrophy"
203	AB990448.1.1459	362	112	3	48	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_14	0	0
142	JF830155.1.1494	152	39	4	17	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_15	0	0
7	KC286854.1.1505	749	124	6	53	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_2	0	0
79	JF697432.1.1492	291	132	2	57	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_23	0	0
115	JN869123.1.1501	183	96	2	41	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_24	0	0
194	FM161354.1.1520	620	95	7	41	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_3	0	0
2	FQ658994.1.1350	1702	77	22	33	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_4	prob rhodoferax genus	"curved rods, motile, phototrophic, mesotrophic some psycrotolerant, facultative anaerobic photoheterotrophs and aerobic heterotrophs in the dark, some also fermentative, have bact-chl-a ubut unclear photosynth path,N fixation and can use NH4 and glutamate as sole nitrogen sources, thiamine and biotin auxotrophy"
114	FM204983.1.1452	359	115	3	50	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_5	0	0
42	AJ867754.1.1521	1450	63	23	27	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae	Comamonadaceae	Comamonadaceae_7	0	0
16	HQ860586.1.1449	1178	189	6	81	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	limB	Limnohabitans_1	"LimB: KL1, rim11"	"coccoid-short rods, 0.4-1um"
45	GU305742.1.1480	1016	162	6	70	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	limB	Limnohabitans_2	"LimB: KL1, rim11"	"coccoid-short rods, 0.4-1um"
6	HM856413.1.1459	1412	209	7	90	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae	Oxalobacteraceae	Oxalobacteraceae_1	0	0
174	GU127206.1.1228	475	89	5	38	B	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae	Oxalobacteraceae	Oxalobacteraceae_3	0	0
124	FN668038.1.1504	3735	229	16	99	B	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylophilaceae	Methylophilaceae	Methylophilaceae_2	0	0
148	JN868732.1.1532	268	97	3	42	B	Proteobacteria	Betaproteobacteria	MWH-UniP1	MWH-UniP1	MWH-UniP1	MWH-UniP1	MWH-UniP1	0	0
165	AB753985.1.1458	190	42	5	18	B	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonadaceae	Nitrosomonadaceae	Nitrosomonadaceae	0	0
123	JN868881.1.1534	665	141	5	61	B	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclaceae	Rhodocyclaceae	Rhodocyclaceae	0	0
196	DQ223087.1.1346	187	49	4	21	B	Proteobacteria	Deltaproteobacteria	Myxococcales	OM27	OM27	OM27	OM27	0	0
107	JF703353.1.1412	161	61	3	26	B	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiales	Chromatiales	Chromatiales	Chromatiales	0	0
20	GQ390219.1.1456	162	44	4	19	B	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix	Crenothrix	Crenothrix_1	0	0
58	KT453615.1.1204	176	60	3	26	B	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix	Crenothrix	Crenothrix_2	0	0
158	HM856500.1.1441	6364	172	37	74	B	Verrucomicrobia	Opitutae	Cerasicoccales	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae_1	0	0
157	HM856573.1.1433	1119	134	8	58	B	Verrucomicrobia	Opitutae	Cerasicoccales	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae_2	0	0
159	GU127177.1.1205	680	132	5	57	B	Verrucomicrobia	Opitutae	Cerasicoccales	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae_3	0	0
46	HM856438.1.1457	211	70	3	30	B	Verrucomicrobia	Opitutae	Cerasicoccales	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae	Cerasicoccaceae_4	0	0
63	JX448591.1.1333	333	117	3	50	B	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus	Opitutus	0	0
1	AB930744.1.1489	263	94	3	41	B	Verrucomicrobia	Pedosphaerae	Pedosphaerales	R4-41B	R4-41B	R4-41B	Pedosphaerales_R4-41B	0	0
27	KP686956.1.1447	3379	209	16	90	B	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	CaXiphinematobacter	CaXiphinematobacter	CaXiphinematobacter_1	0	0
17	HM129219.1.1449	1433	181	8	78	B	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	CaXiphinematobacter	CaXiphinematobacter	CaXiphinematobacter_2	0	0
76	JN626738.1.1361	1144	35	33	15	B	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter	Luteolibacter_1	0	0
55	AJ401105.1.1347	1526	49	31	21	B	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter	Luteolibacter_2	0	0
32	FR749730.1.1509	1295	54	24	23	B	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter	Luteolibacter_3	0	0
95	GU305823.1.1564	430	46	9	20	B	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter	Luteolibacter_4	0	0
86	FN421591.1.1413	265	37	7	16	B	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter	Luteolibacter_5	0	0
